Zone,1,2,3,Total
AnnualSum,6.57417306648193e6,5.309015657851163e6,436938.0756951606,1.2320126800028253e7
t1,736.35718464,70.68258354976714,0.0,807.0397681897672
t2,736.35718464,0.0,0.0,736.35718464
t3,736.35718464,0.0,0.0,736.35718464
t4,736.35718464,0.0,0.0,736.35718464
t5,733.6891200919063,0.0,0.0,733.6891200919063
t6,313.96552484710634,0.0,0.0,313.96552484710634
t7,311.47908910272,0.0,0.0,311.47908910272
t8,311.47908910272,0.0,0.0,311.47908910272
t9,311.47908910272,0.0,0.0,311.47908910272
t10,311.47908910272,0.0,0.0,311.47908910272
t11,311.47908910272,0.0,0.0,311.47908910272
t12,311.47908910272,0.0,0.0,311.47908910272
t13,311.47908910272,0.0,0.0,311.47908910272
t14,311.47908910272,0.0,0.0,311.47908910272
t15,311.47908910272,0.0,0.0,311.47908910272
t16,311.47908910272,0.0,0.0,311.47908910272
t17,311.47908910272,0.0,0.0,311.47908910272
t18,731.20268434752,0.0,0.0,731.20268434752
t19,736.35718464,405.81265364353396,111.44011661933781,1253.6099549028718
t20,736.35718464,1474.1487703914281,194.7411754080187,2405.2471304394467
t21,736.35718464,1492.7832005553769,188.95219873120487,2418.092583926582
t22,736.35718464,1492.7832005553769,188.95219873120487,2418.092583926582
t23,736.35718464,1278.72647063011,77.09249708233156,2092.1761523524415
t24,736.35718464,816.2939038183883,77.09249708233156,1629.74358554072
t25,736.35718464,331.3132863642322,9.069705539097821,1076.74017654333
t26,736.35718464,0.0,0.0,736.35718464
t27,736.35718464,0.0,0.0,736.35718464
t28,736.35718464,0.0,0.0,736.35718464
t29,736.35718464,0.0,0.0,736.35718464
t30,713.1310567802482,0.0,0.0,713.1310567802482
t31,311.47908910272,0.0,0.0,311.47908910272
t32,311.47908910272,0.0,0.0,311.47908910272
t33,311.47908910272,0.0,0.0,311.47908910272
t34,311.47908910272,0.0,0.0,311.47908910272
t35,311.47908910272,0.0,0.0,311.47908910272
t36,311.47908910272,0.0,0.0,311.47908910272
t37,311.47908910272,0.0,0.0,311.47908910272
t38,311.47908910272,0.0,0.0,311.47908910272
t39,311.47908910272,0.0,0.0,311.47908910272
t40,311.47908910272,0.0,0.0,311.47908910272
t41,316.6335893952001,0.0,0.0,316.6335893952001
t42,736.35718464,0.0,0.0,736.35718464
t43,736.35718464,717.2011044288959,0.0,1453.5582890688959
t44,736.35718464,1136.6054266202652,0.0,1872.9626112602652
t45,736.35718464,1136.6054266202652,0.0,1872.9626112602652
t46,736.35718464,1082.5880021860903,0.0,1818.9451868260903
t47,736.35718464,1136.6054266202652,0.0,1872.9626112602652
t48,736.35718464,673.0950497465535,0.0,1409.4522343865535
t49,736.35718464,142.4850043751093,0.0,878.8421890151093
t50,736.35718464,0.0,0.0,736.35718464
t51,736.35718464,0.0,0.0,736.35718464
t52,736.35718464,0.0,0.0,736.35718464
t53,736.35718464,0.0,0.0,736.35718464
t54,731.20268434752,0.0,0.0,731.20268434752
t55,311.47908910272,0.0,0.0,311.47908910272
t56,311.47908910272,0.0,0.0,311.47908910272
t57,311.47908910272,0.0,0.0,311.47908910272
t58,311.47908910272,0.0,0.0,311.47908910272
t59,311.47908910272,0.0,0.0,311.47908910272
t60,311.47908910272,0.0,0.0,311.47908910272
t61,311.47908910272,0.0,0.0,311.47908910272
t62,311.47908910272,0.0,0.0,311.47908910272
t63,311.47908910272,0.0,0.0,311.47908910272
t64,311.47908910272,0.0,0.0,311.47908910272
t65,311.47908910272,0.0,0.0,311.47908910272
t66,311.47908910272,0.0,0.0,311.47908910272
t67,731.20268434752,0.0,0.0,731.20268434752
t68,736.35718464,131.98099035611648,0.0,868.3381749961165
t69,736.35718464,209.1607345877297,0.0,945.5179192277297
t70,736.35718464,209.1607345877297,0.0,945.5179192277297
t71,736.35718464,209.1607345877297,0.0,945.5179192277297
t72,736.35718464,75.29786445158268,0.0,811.6550490915827
t73,736.35718464,72.5787749019422,0.0,808.9359595419422
t74,736.35718464,0.0,0.0,736.35718464
t75,736.35718464,0.0,0.0,736.35718464
t76,736.35718464,0.0,0.0,736.35718464
t77,736.35718464,0.0,0.0,736.35718464
t78,731.20268434752,0.0,0.0,731.20268434752
t79,311.47908910272,0.0,0.0,311.47908910272
t80,311.47908910272,0.0,0.0,311.47908910272
t81,311.47908910272,0.0,0.0,311.47908910272
t82,311.47908910272,0.0,0.0,311.47908910272
t83,311.47908910272,0.0,0.0,311.47908910272
t84,311.47908910272,0.0,0.0,311.47908910272
t85,311.47908910272,0.0,0.0,311.47908910272
t86,311.47908910272,0.0,0.0,311.47908910272
t87,311.47908910272,0.0,0.0,311.47908910272
t88,311.47908910272,0.0,0.0,311.47908910272
t89,311.47908910272,0.0,0.0,311.47908910272
t90,311.47908910272,0.0,0.0,311.47908910272
t91,731.20268434752,0.0,0.0,731.20268434752
t92,736.35718464,75.28923830394082,0.0,811.6464229439408
t93,736.35718464,600.7640290091687,0.0,1337.1212136491686
t94,736.35718464,316.61115605225854,0.0,1052.9683406922586
t95,2337.2399954400003,772.3837509664489,300.6450952210386,3410.2688416274877
t96,736.35718464,278.05815034792164,0.0,1014.4153349879216
t97,736.35718464,268.0171615853578,0.0,1004.3743462253578
t98,736.35718464,225.74329244597843,0.0,962.1004770859785
t99,736.35718464,0.0,0.0,736.35718464
t100,736.35718464,0.0,0.0,736.35718464
t101,736.35718464,0.0,0.0,736.35718464
t102,736.35718464,0.0,0.0,736.35718464
t103,316.6335893952001,0.0,0.0,316.6335893952001
t104,311.47908910272,0.0,0.0,311.47908910272
t105,311.47908910272,0.0,0.0,311.47908910272
t106,311.47908910272,0.0,0.0,311.47908910272
t107,311.47908910272,0.0,0.0,311.47908910272
t108,311.47908910272,0.0,0.0,311.47908910272
t109,311.47908910272,0.0,0.0,311.47908910272
t110,311.47908910272,0.0,0.0,311.47908910272
t111,311.47908910272,0.0,0.0,311.47908910272
t112,311.47908910272,0.0,0.0,311.47908910272
t113,731.20268434752,0.0,0.0,731.20268434752
t114,736.35718464,0.0,0.0,736.35718464
t115,736.35718464,692.0749985771288,0.0,1428.4321832171288
t116,736.35718464,1239.4716582530361,0.0,1975.8288428930362
t117,736.35718464,1184.2694343518722,0.0,1920.6266189918722
t118,736.35718464,1184.2694343518722,0.0,1920.6266189918722
t119,736.35718464,1150.769547828624,0.0,1887.126732468624
t120,736.35718464,410.9414937200997,0.0,1147.2986783600998
t121,840.7344738839982,1317.714715766684,0.0,2158.4491896506825
t122,808.8228750814778,1317.714715766684,0.0,2126.537590848162
t123,808.8228750814778,1021.0952032016028,0.0,1829.9180782830806
t124,808.8228750814778,1051.8266778310187,0.0,1860.6495529124966
t125,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t126,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t127,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t128,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t129,828.0133938940432,520.4287752190023,0.0,1348.4421691130456
t130,736.35718464,208.352952332632,0.0,944.710136972632
t131,316.6335893952001,208.352952332632,0.0,524.9865417278321
t132,311.47908910272,208.352952332632,0.0,519.832041435352
t133,311.47908910272,208.352952332632,0.0,519.832041435352
t134,311.47908910272,208.352952332632,0.0,519.832041435352
t135,316.6335893952001,208.352952332632,0.0,524.9865417278321
t136,736.35718464,208.352952332632,114.53095870524145,1059.2410956778733
t137,893.2152516859298,797.4364779152575,327.8082833817291,2018.4600129829164
t138,1085.5841461437674,1482.0214427832739,360.1857657630871,2927.791354690128
t139,1051.949188376481,1482.0214427832739,360.1857657630871,2894.156396922842
t140,1051.949188376481,1482.0214427832739,360.1857657630871,2894.156396922842
t141,1051.949188376481,1482.0214427832739,360.1857657630871,2894.156396922842
t142,1051.949188376481,1482.0214427832739,360.1857657630871,2894.156396922842
t143,1051.949188376481,1482.0214427832739,360.1857657630871,2894.156396922842
t144,1051.949188376481,1356.012691668893,350.3602409188543,2758.3221209642284
t145,849.9703059851331,862.8880050638503,119.84135083047879,1832.6996618794624
t146,736.35718464,630.3773983245667,0.0,1366.7345829645667
t147,736.35718464,514.2614406457959,0.0,1250.618625285796
t148,736.35718464,514.2614406457959,0.0,1250.618625285796
t149,736.35718464,514.2614406457959,0.0,1250.618625285796
t150,736.35718464,514.2614406457959,0.0,1250.618625285796
t151,736.35718464,646.3407791297061,0.0,1382.6979637697061
t152,736.35718464,1192.640356449322,0.0,1928.997541089322
t153,736.35718464,1152.8882796699659,0.0,1889.2454643099659
t154,736.35718464,514.2614406457959,0.0,1250.618625285796
t155,736.35718464,514.2614406457959,0.0,1250.618625285796
t156,736.35718464,514.2614406457959,0.0,1250.618625285796
t157,731.20268434752,514.2614406457959,0.0,1245.4641249933159
t158,311.47908910272,514.2614406457959,0.0,825.7405297485159
t159,311.47908910272,514.2614406457959,0.0,825.7405297485159
t160,316.6335893952001,514.2614406457959,0.0,830.8950300409961
t161,1026.6476749594226,514.2614406457959,44.647568797685196,1585.5566844029038
t162,1318.9288032729276,1400.6288205629874,98.19526738243529,2817.75289121835
t163,1280.6694768635825,1482.0214427832739,88.15191741637675,2850.842837063233
t164,1280.6694768635825,1482.0214427832739,88.15191741637675,2850.842837063233
t165,1280.6694768635825,1482.0214427832739,88.15191741637675,2850.842837063233
t166,1280.6694768635825,1440.2399456761007,88.15191741637675,2809.06133995606
t167,1280.6694768635825,1411.3983978714593,88.15191741637675,2780.219792151419
t168,1045.741588040785,1310.6955141368578,88.15191741637675,2444.5890195940196
t169,1011.7792045051328,1196.2886495781568,62.919492614095354,2270.987346697385
t170,1011.7792045051328,723.2490418395785,35.9659823058817,1770.994228650593
t171,1011.7792045051328,514.2614406457959,35.9659823058817,1562.0066274568105
t172,1011.7792045051328,514.2614406457959,35.9659823058817,1562.0066274568105
t173,1011.7792045051328,514.2614406457959,35.9659823058817,1562.0066274568105
t174,1011.7792045051328,717.7750195519259,35.9659823058817,1765.5202063629404
t175,1011.7792045051328,1153.68314445371,35.9659823058817,2201.428331264725
t176,1011.7792045051328,1463.4471553791334,79.37015980750525,2554.596519691772
t177,1011.7792045051328,1024.5036035640994,35.9659823058817,2072.248790375114
t178,1011.7792045051328,615.1059576924072,35.9659823058817,1662.8511445034217
t179,1011.7792045051328,514.2614406457959,35.9659823058817,1562.0066274568105
t180,1011.7792045051328,514.2614406457959,35.9659823058817,1562.0066274568105
t181,1011.7792045051328,514.2614406457959,35.9659823058817,1562.0066274568105
t182,1011.7792045051328,514.2614406457959,35.9659823058817,1562.0066274568105
t183,1011.7792045051328,514.2614406457959,35.9659823058817,1562.0066274568105
t184,1280.6694768635825,924.1094605190063,88.15191741637675,2292.930854798966
t185,1280.6694768635825,1482.0214427832739,88.15191741637675,2850.842837063233
t186,1280.6694768635825,1482.0214427832739,88.15191741637675,2850.842837063233
t187,1280.6694768635825,1482.0214427832739,88.15191741637675,2850.842837063233
t188,1280.6694768635825,1482.0214427832739,88.15191741637675,2850.842837063233
t189,1280.6694768635825,1482.0214427832739,88.15191741637675,2850.842837063233
t190,1280.6694768635825,1482.0214427832739,65.3792788191171,2828.0701984659736
t191,1262.7509245081403,1482.0214427832739,56.41722714648112,2801.1895944378957
t192,914.3910574850473,1393.1019374781408,0.0,2307.4929949631883
t193,736.35718464,864.436746809618,0.0,1600.793931449618
t194,736.35718464,593.4760759815524,0.0,1329.8332606215524
t195,736.35718464,533.8809492240326,0.0,1270.2381338640325
t196,736.35718464,514.2614406457959,0.0,1250.618625285796
t197,736.35718464,526.5106489401729,0.0,1262.8678335801728
t198,736.35718464,514.2614406457959,0.0,1250.618625285796
t199,736.35718464,890.4793408576187,0.0,1626.8365254976188
t200,736.35718464,948.4937233812952,0.0,1684.8509080212953
t201,316.6335893952001,0.0,0.0,316.6335893952001
t202,311.47908910272,0.0,0.0,311.47908910272
t203,311.47908910272,0.0,0.0,311.47908910272
t204,311.47908910272,0.0,0.0,311.47908910272
t205,311.47908910272,0.0,0.0,311.47908910272
t206,311.47908910272,0.0,0.0,311.47908910272
t207,311.47908910272,0.0,0.0,311.47908910272
t208,316.6335893952001,0.0,0.0,316.6335893952001
t209,736.35718464,632.8669218929432,0.0,1369.224106532943
t210,736.35718464,1649.9380018504226,0.0,2386.2951864904226
t211,736.35718464,1529.741094156501,0.0,2266.0982787965013
t212,736.35718464,1529.741094156501,0.0,2266.0982787965013
t213,736.35718464,1529.741094156501,0.0,2266.0982787965013
t214,736.35718464,1529.741094156501,0.0,2266.0982787965013
t215,736.35718464,1529.741094156501,0.0,2266.0982787965013
t216,736.35718464,1448.1571693602236,0.0,2184.5143540002236
t217,736.35718464,1100.8333959127392,0.0,1837.1905805527392
t218,736.35718464,910.5627588159383,0.0,1646.9199434559382
t219,736.35718464,844.840871855231,0.0,1581.198056495231
t220,736.35718464,754.016554138313,0.0,1490.373738778313
t221,736.35718464,387.36221530451746,0.0,1123.7193999445176
t222,736.35718464,387.36221530451746,0.0,1123.7193999445176
t223,736.35718464,542.7201655465547,0.0,1279.0773501865547
t224,736.35718464,258.650704422808,0.0,995.0078890628081
t225,316.6335893952001,0.0,0.0,316.6335893952001
t226,311.47908910272,0.0,0.0,311.47908910272
t227,311.47908910272,0.0,0.0,311.47908910272
t228,311.47908910272,0.0,0.0,311.47908910272
t229,311.47908910272,0.0,0.0,311.47908910272
t230,311.47908910272,0.0,0.0,311.47908910272
t231,311.47908910272,0.0,0.0,311.47908910272
t232,316.6335893952001,0.0,0.0,316.6335893952001
t233,774.7461340672661,675.2484433721472,0.0,1449.9945774394132
t234,880.1224918022035,1473.947829085905,0.0,2354.0703208881087
t235,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t236,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t237,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t238,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t239,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
t240,879.5700115994425,1317.714715766684,0.0,2197.2847273661264
