Field,Value
dynamicsComponent.F_heave_max,5963464.9921846185
dynamicsComponent.F_surge_max,"[1812159.3257894227, 44150730.01717991, 732.5517637038117]"
dynamicsComponent.F_ptrain_max,6369681.548705009
dynamicsComponent.P_var,127.07300931703402
dynamicsComponent.P_elec,986587.0159816134
dynamicsComponent.P_matrix,"[[209.39337115511518, 1230.384718710266, 2957.685566952702, 4971.2507620541, 6995.106541075944, 8881.439390020087, 10560.632274223246, 12010.193601034885, 13234.362926538708, 14250.807976131733, 15082.540921937238, 15753.418250397914, 16285.888528603948, 16700.04399753588, 17013.37530603723], [1884.5403403960365, 11073.462468392394, 26619.170102574317, 44741.256858486886, 62955.9588696835, 79932.95451018076, 95045.69046800921, 108091.74240931399, 119109.26633884839, 128257.27178518561, 135742.8682974351, 141780.76425358123, 146572.99675743555, 150300.39597782286, 153120.37775433503], [5234.834278877879, 30759.617967756654, 73942.13917381757, 124281.2690513525, 174877.6635268986, 222035.9847505021, 264015.8068555811, 300254.84002587205, 330859.07316346775, 356270.1994032933, 377063.523048431, 393835.4562599479, 407147.2132150987, 417501.099938397, 425334.38265093067], [10260.275186600644, 60288.85121680304, 144926.59278068237, 243591.2873406508, 342760.2205127212, 435190.5301109842, 517470.981436939, 588499.4864507094, 648483.7834003968, 698289.5908304548, 739044.5051749246, 771917.4942694979, 798008.5379015937, 823814.2376266681, 848421.7912435867], [16960.863063564328, 99661.16221553154, 239572.53092316893, 402671.31172638206, 566603.6298271515, 719396.5905916267, 855411.2142120829, 1041310.0022732746, 1258710.3331734675, 1394757.0965094483, 1470271.6880397238, 1505910.8033058413, 1515570.4817902497, 1508243.707067257, 1489773.7652895115], [25336.597909768938, 148876.55096394217, 357879.95360127697, 601521.342208546, 846407.8914701894, 1289649.8493227141, 1786272.846162221, 2062330.935758428, 2195679.6049811696, 2244297.394799843, 2242946.1085829167, 2212162.534432888, 2164212.522802205, 2106534.3278966392, 2043702.8987564982], [35387.47972521446, 207935.01746203494, 499848.8608150068, 840141.378787143, 1629272.5743644433, 2414814.7941443026, 2812597.8994097486, 2981078.233315276, 3022085.2825842905, 2992851.1203516303, 2925394.425403198, 2837845.3702248996, 2740607.689086646, 2639708.7022090857, 2538649.2502607554], [47113.50850990091, 276836.56170980976, 665479.2525643583, 1442761.7959931092, 2785791.737849673, 3465355.6811693665, 3747269.5901385667, 3817633.121971315, 3776910.786252487, 3678957.7072508754, 3552955.094215055, 3414893.3131782585, 3273586.288723398, 3133870.3730909955, 2998340.5860458263], [60514.68426382828, 355581.183707267, 854771.1288493309, 2598577.719092404, 3890270.2366689043, 4444336.489846, 4618509.231439588, 4599946.4922733195, 4485211.760330871, 4324760.490382473, 4145234.2500916044, 3960763.4447265314, 3778788.151962105, 3603113.1216592076, 3435544.481522547], [75591.00698699657, 444168.883454406, 1279103.429667917, 3773189.7497501443, 4938217.939079741, 5370811.080608327, 5445403.541783495, 5344920.523393317, 5161717.848070824, 4943136.434269782, 4713572.322309753, 4485521.181761449, 4265211.529169935, 4055532.4230698235, 3857584.57481071], [92342.47667940581, 542599.6609512273, 2351100.2257281356, 4914458.0091237305, 5940714.798284907, 6258542.319403691, 6240266.192921477, 6063164.914734971, 5815574.985404614, 5542036.141225375, 5264947.056785144, 4995345.047156487, 4738370.014305856, 4496081.553622323, 4268936.357120569], [110769.09334105591, 650873.5161977306, 3560627.859276816, 6019285.84399765, 6907595.926540933, 7117072.840339248, 7011296.479229256, 6761645.166718142, 6452746.442973282, 6126622.475684099, 5803877.294052607, 5494228.383589423, 5201821.68013015, 4927952.915521129, 4672481.110360696], [130870.85697194697, 768990.4491939163, 4792594.158416046, 7091770.541275165, 7846415.560982946, 7953120.647193398, 7764140.732546637, 7445113.684765016, 7077280.4641710315, 6700389.263871567, 6333414.307057594, 5984863.165151512, 5657961.9056146825, 5353293.325682712, 5070154.5549293235], [152647.767572079, 896950.4599397839, 6016812.859540321, 8136819.314284632, 8762863.34918942, 8771521.410109928, 8502805.11465608, 8116919.7312141545, 7692019.024081773, 7265783.05718174, 6855690.871960078, 6469128.402991933, 6108460.786637986, 5773598.143537752, 5463303.874959649]]"
dynamicsComponent.h_s_extra,-0.0055165980599816145
dynamicsComponent.P_unsat,"[[261.74171394389396, 1537.9808983878324, 3697.1069586908775, 6214.063452567624, 8743.883176344929, 11101.799237525107, 13200.790342779057, 15012.742001293605, 16542.953658173385, 17813.509970164665, 18853.176152421547, 19691.77281299739, 20357.360660754934, 20875.054996919847, 21266.719132546536], [2355.6754254950456, 13841.828085490492, 33273.962628217894, 55926.57107310861, 78694.94858710437, 99916.19313772595, 118807.11308501152, 135114.67801164248, 148886.5829235605, 160321.589731482, 169678.5853717939, 177225.95531697653, 183216.24594679443, 187875.49497227857, 191400.47219291877], [6543.542848597349, 38449.522459695814, 92427.67396727196, 155351.58631419062, 218597.07940862325, 277544.9809381276, 330019.75856947637, 375318.55003234005, 413573.8414543347, 445337.7492541166, 471329.4038105387, 492294.32032493484, 508934.01651887334, 521876.3749229962, 531667.9783136633], [12825.343983250805, 75361.0640210038, 181158.24097585297, 304489.1091758135, 428450.2756409015, 543988.1626387303, 646838.7267961737, 735624.3580633868, 810604.7292504959, 872861.9885380685, 923805.6314686557, 964896.8678368723, 997510.6723769921, 1022877.6948490726, 1042069.2374947801], [21201.078829455408, 124576.45276941442, 299465.66365396115, 503339.13965797756, 708254.5372839394, 899245.7382395334, 1069264.0177651036, 1216032.1021047824, 1339979.2463120446, 1442894.3075833379, 1527107.268346145, 1595033.5978527886, 1648946.21352115, 1690879.4547505076, 1722604.2497362695], [31670.74738721117, 186095.68870492768, 447349.9420015962, 751901.6777606824, 1058009.8643377367, 1343317.707740538, 1597295.6314762658, 1816541.7821565266, 2001697.39263898, 2155434.7063899245, 2281234.314443007, 2382704.510372685, 2463240.639951348, 2525881.6546273017, 2573273.0150381303], [44234.349656518076, 259918.77182754368, 624811.0760187585, 1050176.7234839287, 1477716.2568022932, 1876204.0711417426, 2230933.5679296604, 2537153.3982186196, 2795759.168231303, 3010483.184957829, 3186186.769759241, 3327909.605396559, 3440393.9516675845, 3527884.2944794535, 3594075.5334003633], [58891.88563737613, 346045.7021372622, 831849.0657054478, 1398164.276827715, 1967373.7146776093, 2497904.8284431496, 2970177.827125288, 3377866.9502910613, 3722164.573089012, 4008039.7432870497, 4241964.634294848, 4430648.882924414, 4580406.148669859, 4696887.374306966, 4785011.804822969], [75643.35532978535, 444476.4796340837, 1068463.9110616636, 1795864.3377920433, 2526982.237963685, 3208419.979644756, 3815028.4090631474, 4338682.4383738525, 4780913.6072121095, 5148104.381377587, 5448567.908049826, 5690922.342956247, 5883277.230958178, 6032890.894109835, 6146081.829305949], [94488.75873374571, 555211.1043180075, 1334655.6120874067, 2243276.906376912, 3156541.8266605195, 4007749.524746564, 4765485.313743238, 5419599.862466993, 5972006.270600593, 6430677.099229445, 6805996.591024177, 7108729.985492059, 7349007.198532533, 7535894.853888066, 7677285.6068493], [115428.09584925725, 678249.5761890342, 1630424.1687826775, 2740401.9825823223, 3856052.480768114, 4895893.463748572, 5821548.541165564, 6620619.22257048, 7295442.5632544635, 7855757.896842618, 8314250.6832179, 8684071.810531849, 8977596.051392926, 9205899.253641654, 9378623.137453018], [138461.36667631989, 813591.8952471631, 1955769.5811474745, 3287239.5664082733, 4625514.200286469, 5872851.796650782, 6983218.09133012, 7941740.51868432, 8751222.485173723, 9423346.774217108, 9973330.184630996, 10416947.818075622, 10769043.789539361, 11042904.093370596, 11250094.421117118], [163588.5712149337, 961238.0614923954, 2310691.8491817988, 3883789.657854764, 5464926.985215581, 6938624.523453192, 8250493.96423691, 9382963.750808505, 10339346.036358366, 11133443.731352916, 11783235.095263466, 12307358.008123372, 12723350.412971836, 13046909.3730749, 13291699.457841583], [190809.70946509874, 1121188.0749247298, 2695190.97288565, 4530052.256921796, 6374290.835555455, 8093211.644155804, 9623376.159885932, 10944288.91894304, 12059813.216808403, 12986048.768250039, 13743965.415115306, 14355302.3806751, 14840515.92169035, 15217915.092754569, 15503438.247626426]]"
econComponent.LCOE,0.07641316080134866
econComponent.capex,416387938.45618963
